Tue Jun 20 09:13:12 2017,691382_115.RoyalOttawa#10055_p1-2_150.HuntersPointe#10055_p1-2_539.CedarHill#20055_p1-2_568.Copetown#10055_p1-2_615.MarlwoodGolf#10055_p1-2_673.Hollinger#10055_p1-2_698.Dundee#10055_p1-2_715.Edmundston#10055_p1-2.pdf
Fri Jun 23 14:13:35 2017,691766_691766-ENV_00_p1.pdf
Fri Jun 23 15:08:05 2017,690898_690898_p18_01_p1.pdf
Fri Jun 23 15:08:07 2017,690898_690898_p32_01_p1.pdf
Fri Jun 23 15:08:10 2017,690898_690898_p33_01_p1.pdf
Fri Jun 23 15:08:13 2017,690898_690898_p62_01_p1.pdf
Fri Jun 23 15:08:05 2017,690898_p18_01.pdf
Fri Jun 23 15:08:07 2017,690898_p32_01.pdf
Fri Jun 23 15:08:10 2017,690898_p33_01.pdf
Fri Jun 23 15:08:13 2017,690898_p62_01.pdf
Fri Jun 23 15:17:36 2017,691761_PL_691761.pdf
Fri Jun 23 15:21:54 2017,691761_PL_691761.pdf
Fri Jun 23 15:21:54 2017,691761_Proof.pdf
Fri Jun 23 15:49:22 2017,685649_685649_p4_02_p1.pdf
